id,MakeText,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,BodyColorText,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,ConsumptionTotalText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText
1058.0,LAMBORGHINI,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,MURCIÉLAGO,Murciélago 6.2 Coupé,"\"Ab MFK\"",null,G,9000,silber mét.,Schaltgetriebe manuell,2,Allrad,Porrentruy,6192,2,2003,Benzin,21.5 l/100km,500 g/km,580,2,,Coupé
1093.0,PORSCHE,911 Turbo S Cabrio,PORSCHE 911 Turbo S Cabrio,911,911 Turbo S Cabrio,"\"Ab MFK\"",mehrfarbig,G,14000,weiss,Automatisiertes Schaltgetriebe,2,Allrad,Zuzwil,3800,7,2011,Benzin,11.5 l/100km,270 g/km,530,2,,Cabriolet
127.0,AUDI,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,64500,blau mét.,Automat sequentiell,5,Allrad,Zuzwil,4172,5,2003,Benzin,14.6 l/100km,350 g/km,450,5,,Kombi
145.0,MERCEDES-BENZ,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,190,190 E 2.5-16 ABS,null,schwarz,null,162000,blau mét.,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,2497,10,1990,Benzin,null,null,195,4,,Limousine
598.0,JAGUAR,XKR S/C,JAGUAR XKR S/C,XK,XKR S/C,"\"Ab MFK\"",weiss,G,89666,schwarz,Automat,4,Hinterradantrieb,Zuzwil,3996,5,1999,Benzin,12.6 l/100km,340 g/km,363,2,,Coupé
854.0,ASTON MARTIN,DB9,ASTON MARTIN DB9,DB9,DB9,"\"Ab MFK\"",schwarz,G,40800,silber,Automat sequentiell,4,Hinterradantrieb,Zuzwil,5935,1,2005,Benzin,16.5 l/100km,394 g/km,457,2,,Coupé
1098.0,MERCEDES-BENZ,S 63 AMG L,MERCEDES-BENZ S 63 AMG L,S 63 AMG,S 63 AMG L,"\"Ab MFK\"",schwarz,G,46000,weiss,Automat sequentiell,5,Hinterradantrieb,Zuzwil,6209,4,2008,Benzin,14.9 l/100km,355 g/km,525,4,,Limousine
231.0,MERCEDES-BENZ,S 320,MERCEDES-BENZ S 320,S 320,S 320,"\"Ab MFK\"",schwarz,G,128000,gelb,Automat,5,Hinterradantrieb,Zuzwil,3199,4,1999,Benzin,11.5 l/100km,276 g/km,224,4,,Limousine
310.0,RENAULT,R8 Gordini,RENAULT R8 Gordini,,R8 Gordini,"\"Ab MFK\"",schwarz,null,45000,grau mét.,Schaltgetriebe,0,null,Zuzwil,0,4,1969,null,null,null,0,0,,Kleinwagen
683.0,LOTUS,Esprit 3.5 V8 SE,LOTUS Esprit 3.5 V8 SE,ESPRIT,Esprit 3.5 V8 SE,"\"Ab MFK\"",null,G,150,schwarz mét.,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,3506,6,2002,Benzin,15.7 l/100km,366 g/km,354,2,,Coupé
806.0,HONDA,Accord Coupé V6 3.0i VTEC,HONDA Accord Coupé V6 3.0i VTEC,ACCORD,Accord Coupé V6 3.0i VTEC,"\"Ab MFK\"",anthrazit,G,186000,schwarz mét.,Automat,5,Vorderradantrieb,Zuzwil,2997,7,1998,Benzin,10.7 l/100km,253 g/km,200,2,,Coupé
50.0,AUDI,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,43400,blau,Automat sequentiell,5,Allrad,Zuzwil,4172,5,2003,Benzin,14.6 l/100km,350 g/km,450,5,,Kombi
538.0,BMW,525xi,BMW 525xi,525,525xi,"\"Ab MFK\"",schwarz,G,99800,schwarz,Schaltgetriebe manuell,5,Allrad,Zuzwil,2497,1,2007,Benzin,9.6 l/100km,232 g/km,218,4,,Limousine
75.0,ALFA ROMEO,GTV 6 2.5,ALFA ROMEO GTV 6 2.5,GTV,GTV 6 2.5,null,schwarz,null,75000,blau,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,2492,8,1984,Benzin,null,null,160,3,,Coupé
912.0,BMW,535d,BMW 535d,535,535d,"\"Ab MFK\"",grau,G,29900,silber mét.,Automat sequentiell,5,Hinterradantrieb,Zuzwil,2993,1,2006,Diesel,8.0 l/100km,211 g/km,272,4,,Limousine
996.0,LAMBORGHINI,Diablo 5.7 VT,LAMBORGHINI Diablo 5.7 VT,DIABLO,Diablo 5.7 VT,"\"Ab MFK\"",null,null,46700,silber mét.,Schaltgetriebe manuell,2,Allrad,Zuzwil,5707,6,1993,Benzin,null,null,492,2,,Coupé
1107.0,PORSCHE,Panamera Turbo 4.8,PORSCHE Panamera Turbo 4.8,PANAMERA,Panamera Turbo 4.8,"\"Ab MFK\"",mehrfarbig,G,30300,weiss,Automatisiertes Schaltgetriebe,4,Allrad,Zuzwil,4806,9,2009,Benzin,12.2 l/100km,286 g/km,500,5,,Limousine
1151.0,MERCEDES-BENZ,A 150 Classic,MERCEDES-BENZ A 150 Classic,A 150,A 150 Classic,"\"Ab MFK\"",anthrazit,F,99000,weiss mét.,Schaltgetriebe manuell,5,Vorderradantrieb,Zuzwil,1498,10,2005,Benzin,6.7 l/100km,159 g/km,95,3,,Limousine
22.0,RENAULT,1600S Gruppe 5 look,RENAULT Alpine A110 1600S Gruppe 5 look,Alpine A110,Alpine A110 1600S Gruppe 5 look,"\"Rennwagen\"",schwarz,null,19200,anthrazit mét.,Schaltgetriebe,2,Hinterradantrieb,Zuzwil,1565,1,1971,null,null,null,170,2,,Coupé
669.0,LAMBORGHINI,Aventador LP700-4 Rds,LAMBORGHINI Aventador LP700-4 Rds,AVENTADOR,Aventador LP700-4 Rds,"\"Ab MFK\"",rot,G,1999,schwarz mét.,Automatisiertes Schaltgetriebe,2,Allrad,Porrentruy,6498,3,2014,Benzin,16.0 l/100km,370 g/km,700,2,,Cabriolet
891.0,FERRARI,F360 Spider,FERRARI F360 Spider,F360,F360 Spider,"\"Ab MFK\"",schwarz,G,41000,silber mét.,Automatisiertes Schaltgetriebe,2,Hinterradantrieb,Zuzwil,3586,5,2001,Benzin,19.3 l/100km,440 g/km,400,2,,Cabriolet
973.0,BMW-ALPINA,B3 3.3 S,BMW-ALPINA B3 3.3 S,3 SERIES,B3 3.3 S,"\"Ab MFK\"",schwarz,G,54100,silber mét.,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,3346,2,2003,Benzin,11.2 l/100km,268 g/km,305,4,,Limousine
1100.0,MERCEDES-BENZ,S 500 4Matic,MERCEDES-BENZ S 500 4Matic,S 500,S 500 4Matic,"\"Ab MFK\"",schwarz,G,62300,weiss,Automat sequentiell,5,Allrad,Zuzwil,5461,11,2006,Benzin,12.6 l/100km,296 g/km,388,4,,Limousine
176.0,FERRARI,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,F360,F360 Modena Berlinetta,"\"Ab MFK\"",braun,null,8000,blau mét.,Automatik-Getriebe,2,Hinterradantrieb,Zuzwil,3586,3,2005,Benzin,19.3 l/100km,440 g/km,400,2,,Coupé
634.0,TOYOTA,Celica 2800 i Supra,TOYOTA Celica 2800 i Supra,CELICA,Celica 2800 i Supra,"\"Ab MFK\"",schwarz,null,54100,schwarz mét.,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,2759,3,1983,Benzin,null,null,170,3,,Coupé
65.0,MERCEDES-BENZ,CL 600,MERCEDES-BENZ CL 600,CL 600,CL 600,"\"Ab MFK\"",schwarz,G,29500,blau,Automat,4,Hinterradantrieb,Zuzwil,5513,12,2003,Benzin,14.7 l/100km,353 g/km,500,2,,Coupé
729.0,JEEP,Grand Cherokee 4.0 Ltd.,JEEP Grand Cherokee 4.0 Ltd.,Grand Cherokee,Grand Cherokee 4.0 Ltd.,"\"Ab MFK\"",beige,null,126200,schwarz mét.,Automat,5,Allrad,Zuzwil,3960,12,1996,Benzin,14.9 l/100km,null,177,5,,SUV / Geländewagen
852.0,PORSCHE,911 GT3,PORSCHE 911 GT3,911,911 GT3,"\"Ab MFK\"",null,null,47900,silber,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,3600,10,1999,Benzin,12.9 l/100km,null,360,2,,Coupé
876.0,MERCEDES-BENZ,S 65 L AMG 650PS,MERCEDES-BENZ S 65 L AMG 650PS,S 65 AMG,S 65 L AMG 650PS,"\"Ab MFK\"",beige,G,61000,silber mét.,Automat,5,Hinterradantrieb,Zuzwil,5981,8,2004,Benzin,14.9 l/100km,357 g/km,612,4,,Limousine
990.0,LAMBORGHINI,Aventador LP700-4 Rds,LAMBORGHINI Aventador LP700-4 Rds,AVENTADOR,Aventador LP700-4 Rds,"\"Ab MFK\"",schwarz,G,150,silber mét.,Automatisiertes Schaltgetriebe,2,Allrad,Sursee,6498,1,2014,Benzin,16.0 l/100km,370 g/km,700,2,,Cabriolet
1113.0,MERCEDES-BENZ,CL 600,MERCEDES-BENZ CL 600,CL 600,CL 600,"\"Ab MFK\", \"Tuning\"",beige,G,12200,weiss,Automat,4,Hinterradantrieb,Zuzwil,5513,9,2003,Benzin,14.7 l/100km,353 g/km,500,2,,Coupé
118.0,MERCEDES-BENZ,CLK DTM AMG,MERCEDES-BENZ CLK DTM AMG,,CLK DTM AMG,"\"Ab MFK\"",schwarz,null,32500,blau mét.,Automatik-Getriebe,4,Hinterradantrieb,Zuzwil,5439,2,2008,Benzin,null,null,582,2,,Cabriolet
38.0,PORSCHE,Cayenne Turbo,PORSCHE Cayenne Turbo,CAYENNE,Cayenne Turbo,"\"Ab MFK\"",schwarz,G,36700,anthrazit mét.,Automat sequentiell,5,Allrad,Zuzwil,4806,3,2007,Benzin,14.9 l/100km,358 g/km,540,5,,SUV / Geländewagen
498.0,BMW,M3,BMW M3,M3,M3,"\"Ab MFK\"",schwarz,G,127800,rot,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,3246,9,2001,Benzin,13.4 l/100km,323 g/km,343,2,,Coupé
511.0,MERCEDES-BENZ,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,SL 55 AMG,SL 55 AMG,"\"Ab MFK\"",schwarz,G,43300,schwarz,Automat,2,Hinterradantrieb,Zuzwil,5439,7,2003,Benzin,14.2 l/100km,340 g/km,500,2,,Cabriolet
