carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Limousine,silver met.,,,,Zuzwil,,Maserati,,33500.0,kilometer,Quattroporte,Quattroporte 4.2,false,car,,,l_km_consumption
Cabriolet,white,,,,Zuzwil,,Alfa romeo,,106000.0,kilometer,Spider,1300 Junior,false,car,,,
Kleinwagen,gray met.,,,,Zuzwil,,Fiat,,75200.0,kilometer,Punto,Punto 1.8 16V HGT,false,car,,,l_km_consumption
Kompaktvan / Minivan,red,,,,Zuzwil,,Dodge,,13800.0,kilometer,,B 200,false,car,,,
Coupé,blue,,,,Zuzwil,,Porsche,,114000.0,kilometer,924,Turbo,false,car,,,
Coupé,black met.,,,,Zuzwil,,Mercedes-benz,,48300.0,kilometer,Cl 65 amg,CL 65 AMG,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Bmw,,49900.0,kilometer,328,328i A Cabrio,false,car,,,l_km_consumption
SUV / Geländewagen,silver,,,,Zuzwil,,Vw,,117800.0,kilometer,Touareg,Touareg 5.0 TDI V10,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,40300.0,kilometer,S 65 amg,S 65 AMG L,false,car,,,l_km_consumption
Kombi,bordeaux met.,,,,Zuzwil,,Audi,,171700.0,kilometer,A6,A6 Avant 2.7 T q.Ambiente,false,car,,,l_km_consumption
Kombi,red,,,,Zuzwil,,Mercedes-benz,,140200.0,kilometer,E 350,E 350 Elégance 4Matic,false,car,,,l_km_consumption
Coupé,red,,,,Zuzwil,,Ferrari,,45000.0,kilometer,F430,F430,false,car,,,l_km_consumption
SUV / Geländewagen,black,,,,Zuzwil,,Mercedes-benz,,118000.0,kilometer,Ml 500,ML 500,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Bmw,,45000.0,kilometer,750,750i xDrive,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Mercedes-benz,,23800.0,kilometer,Sl 500,SL 500,false,car,,,
Limousine,black met.,,,,Zuzwil,,Mercedes-benz,,89200.0,kilometer,E 240,E 240 Elégance,false,car,,,l_km_consumption
SUV / Geländewagen,silver met.,,,,Zuzwil,,Bmw,,60100.0,kilometer,X5,X5 4.4i,false,car,,,l_km_consumption
Coupé,white,,,,Zuzwil,,Mclaren,,23000.0,kilometer,12c,MP4-12C Coupé 3.8 V8,false,car,,,l_km_consumption
Cabriolet,gray met.,,,,Zuzwil,,Porsche,,128000.0,kilometer,911,911 Carrera Targa,false,car,,,l_km_consumption
Cabriolet,gray met.,,,,Zuzwil,,Mercedes-benz,,75900.0,kilometer,Sl 600,SL 600,false,car,,,
Coupé,green met.,,,,Zuzwil,,Mercedes-benz,,29000.0,kilometer,Cl 600,CL 600,false,car,,,l_km_consumption
Kombi,black met.,,,,Zuzwil,,Bmw,,72000.0,kilometer,550,550i Touring,false,car,,,l_km_consumption
Cabriolet,black met.,,,,Zuzwil,,Porsche,,46500.0,kilometer,911,911 Turbo Cabrio,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Volvo,,145000.0,kilometer,S60,S60 2.4T,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Chevrolet,,24000.0,kilometer,Corvette,Corvette Z06,false,car,,,l_km_consumption
Cabriolet,yellow,,,,Zuzwil,,Rolls-royce,,19720.0,kilometer,Corniche,Cabrio,false,car,,,
Coupé,blue,,,,Zuzwil,,Bmw,,81900.0,kilometer,330,330Ci,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Audi,,44000.0,kilometer,A8,A8 4.2 quattro,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Bentley,,84000.0,kilometer,Continental,Continental GT 6.0,false,car,,,l_km_consumption
Cabriolet,bordeaux met.,,,,Zuzwil,,Porsche,,450.0,kilometer,911,911 Turbo S Cabrio,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Renault,,128500.0,kilometer,Alpine,V6,false,car,,,
Cabriolet,white,,,,Zuzwil,,Aston martin,,9000.0,kilometer,V8 vantage,V8 Vantage 4.7,false,car,,,l_km_consumption
Coupé,blue,,,,Zuzwil,,Mercedes-benz,,15100.0,kilometer,Cl 500,CL 500,false,car,,,l_km_consumption
