id,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText,color,transmissionType,make,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
705.0,ML 500 4Matic,MERCEDES-BENZ ML 500 4Matic,ML 500,ML 500 4Matic,"\"Ab MFK\"",beige,G,1,Automat sequentiell,5,Allrad,Zuzwil,4966,3,2007,Benzin,319 g/km,306,5,,SUV / Geländewagen,black met.,null,Mercedes-benz,13.4,l/100km
459.0,Speedster 2.0 16V Turbo,OPEL Speedster 2.0 16V Turbo,SPEEDSTER,Speedster 2.0 16V Turbo,"\"Ab MFK\", \"Tuning\"",schwarz,G,11700,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,1998,6,2003,Benzin,202 g/km,200,2,,Cabriolet,red,manual,Opel,8.5,l/100km
472.0,9-3 2.0T Performance,SAAB 9-3 2.0T Performance,9-3,9-3 2.0T Performance,"\"Ab MFK\"",grau,null,104400,Automatik-Getriebe,5,Vorderradantrieb,Zuzwil,1998,4,2005,Benzin,239 g/km,252,4,,Limousine,red,null,Saab,10.2,l/100km
672.0,MP4-12C 3.8 V8,McLAREN MP4-12C 3.8 V8,12C,MP4-12C 3.8 V8,"\"Ab MFK\"",schwarz,G,55,Automatisiertes Schaltgetriebe,2,Hinterradantrieb,Zuzwil,3798,6,2012,Benzin,279 g/km,625,2,,Coupé,black met.,automatic,Mclaren,11.7,l/100km
807.0,RS5 Coupé 4.2FSI quattro,AUDI RS5 Coupé 4.2FSI quattro,RS5,RS5 Coupé 4.2FSI quattro,"\"Ab MFK\"",schwarz,G,31750,Automatisiertes Schaltgetriebe,4,Allrad,Zuzwil,4163,1,2011,Benzin,252 g/km,450,2,,Coupé,black met.,automatic,Audi,10.8,l/100km
1142.0,WLR,AGM WLR,,WLR,"\"Rennwagen\"",weiss,null,1,Schaltgetriebe,2,Hinterradantrieb,Zuzwil,3499,1,2004,Benzin,null,250,0,,Cabriolet,white met.,manual,Agm,null,
251.0,Quattroporte 4.2,MASERATI Quattroporte 4.2,QUATTROPORTE,Quattroporte 4.2,"\"Ab MFK\"",beige,G,46050,Automatisiertes Schaltgetriebe,5,Hinterradantrieb,Zuzwil,4244,6,2006,Benzin,370 g/km,400,4,,Limousine,gray,automatic,Maserati,15.8,l/100km
673.0,Cayenne Turbo,PORSCHE Cayenne Turbo,CAYENNE,Cayenne Turbo,"\"Ab MFK\"",schwarz,G,18200,Automat,5,Allrad,Zuzwil,4806,4,2008,Benzin,358 g/km,500,5,,SUV / Geländewagen,black met.,automatic,Porsche,14.9,l/100km
675.0,S 500,MERCEDES-BENZ S 500,S 500,S 500,"\"Ab MFK\"",schwarz,G,51000,Automat,5,Hinterradantrieb,Zuzwil,4966,10,1999,Benzin,299 g/km,299,4,,Limousine,black met.,automatic,Mercedes-benz,12.5,l/100km
919.0,M5,BMW M5,M5,M5,"\"Ab MFK\"",schwarz,G,27800,Automatisiertes Schaltgetriebe,5,Hinterradantrieb,Zuzwil,4999,4,2005,Benzin,357 g/km,503,4,,Limousine,silver met.,automatic,Bmw,14.8,l/100km
942.0,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,S 65 AMG,S 65 AMG L,"\"Ab MFK\"",schwarz,G,94000,Automat sequentiell,5,Hinterradantrieb,Zuzwil,5981,1,2007,Benzin,null,612,4,,Limousine,silver met.,null,Mercedes-benz,14.8,l/100km
1084.0,A8 4.2 quattro,AUDI A8 4.2 quattro,A8,A8 4.2 quattro,"\"Ab MFK\"",beige,G,101300,Automat sequentiell,5,Allrad,Zuzwil,4172,9,2003,Benzin,288 g/km,335,4,,Limousine,white,null,Audi,12.0,l/100km
1135.0,Continental FlyingSpur6.0,BENTLEY Continental FlyingSpur6.0,CONTINENTAL,Continental FlyingSpur6.0,"\"Ab MFK\"",schwarz,G,43000,Automat,4,Allrad,Zuzwil,5998,1,2006,Benzin,423 g/km,560,4,,Limousine,white,automatic,Bentley,17.7,l/100km
116.0,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,RS6,RS6 Avant 5.0 V10 quattro,"\"Ab MFK\"",schwarz,G,79700,Automat,5,Allrad,Zuzwil,4991,10,2008,Benzin,333 g/km,580,5,,Kombi,blue met.,automatic,Audi,14.0,l/100km
233.0,Testarossa,FERRARI Testarossa,TESTAR./512,Testarossa,null,beige,null,31700,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,4941,1,1989,Benzin,null,380,2,,Coupé,yellow met.,manual,Ferrari,null,
466.0,SL 500,MERCEDES-BENZ SL 500,SL 500,SL 500,null,anthrazit,G,36800,Automat,2,Hinterradantrieb,Zuzwil,4966,6,2002,Benzin,304 g/km,306,2,,Cabriolet,red,automatic,Mercedes-benz,12.7,l/100km
746.0,CL 5.8 BRABUS,MERCEDES-BENZ CL 5.8 BRABUS,,CL 5.8 BRABUS,"\"Ab MFK\", \"Tuning\"",beige,null,33000,Automatik-Getriebe,4,Hinterradantrieb,Zuzwil,5727,1,2000,Benzin,null,400,2,,Coupé,black met.,null,Mercedes-benz,null,
784.0,Touran 1.4 TSI Trend,VW Touran 1.4 TSI Trend,TOURAN,Touran 1.4 TSI Trend,"\"Ab MFK\"",anthrazit,F,71700,Schaltgetriebe manuell,7,Vorderradantrieb,Zuzwil,1390,3,2008,Benzin,180 g/km,140,5,,Kompaktvan / Minivan,black met.,manual,Vw,7.5,l/100km
84.0,F355 Berlinetta,FERRARI F355 Berlinetta,F355,F355 Berlinetta,"\"Ab MFK\"",schwarz,null,78000,Schaltgetriebe manuell,2,Hinterradantrieb,Zuzwil,3496,5,1995,Benzin,null,380,2,,Coupé,blue,manual,Ferrari,20.8,l/100km
909.0,SL 500,MERCEDES-BENZ SL 500,SL 500,SL 500,"\"Ab MFK\"",braun,null,111500,Automat,0,Hinterradantrieb,Zuzwil,4971,3,1994,Benzin,null,320,2,,Cabriolet,silver met.,automatic,Mercedes-benz,null,
1102.0,740i,BMW 740i,740,740i,"\"Ab MFK\"",grau,null,85400,Automat,5,Hinterradantrieb,Zuzwil,4398,4,1998,Benzin,329 g/km,286,4,,Limousine,white,automatic,Bmw,13.8,l/100km
319.0,GT,MG MGC GT,MGC,C GT,"\"Ab MFK\"",mehrfarbig,null,48800,Schaltgetriebe,4,Hinterradantrieb,Zuzwil,2912,8,1968,Benzin,null,135,3,,Coupé,gray met.,manual,Mg,null,
533.0,E 500 Avantgarde,MERCEDES-BENZ E 500 Avantgarde,E 500,E 500 Avantgarde,"\"Ab MFK\"",null,G,123300,Automat sequentiell,5,Hinterradantrieb,Zuzwil,4966,4,2004,Benzin,284 g/km,306,5,,Kombi,black,null,Mercedes-benz,11.9,l/100km
610.0,RS6 Avant quattro,AUDI RS6 Avant quattro,RS6,RS6 Avant quattro,"\"Ab MFK\"",schwarz,G,43800,Automat sequentiell,5,Allrad,Zuzwil,4172,2,2003,Benzin,350 g/km,450,5,,Kombi,black met.,null,Audi,14.6,l/100km
754.0,911 Carrera,PORSCHE 911 Carrera,911,911 Carrera,"\"Ab MFK\"",beige,null,26000,Automatik-Getriebe,4,Hinterradantrieb,Zuzwil,3387,5,1998,Benzin,null,300,2,,Coupé,black met.,null,Porsche,11.8,l/100km
